tenant_id,cod_norm,unidad,n_filas,n_sucursales,n_precios_venta_distintos,n_barcodes,n_nombres_distintos,ids,sucursales
d99199c9-4ac7-43b1-b4fb-4393c4a6b359,cuv-0001,unidad,11,1,1,0,11,"[""53ecd7bb-f099-48df-b437-017697bfa3d8"",""afdea243-0225-4090-bb0d-d09c2eee31bf"",""a4141c75-924c-4c52-a383-19f1086cdf07"",""ff157428-08d2-4682-ba76-2a470559e350"",""1d7b4055-7a9d-4ff4-906c-35177f9b5bd5"",""f88b30e8-778f-4728-b956-bb061d81c6c6"",""08227884-ef19-4a45-b399-d6d4c79c7b13"",""9e3a2b66-8ca5-4a3e-a04e-40c72cac7eea"",""af15eaae-2c1c-4fa9-983c-dea283cf3dd7"",""9cabb151-0292-4dfc-a686-7f829ed33f8b"",""0ed50cf8-f9fb-47d7-9d96-96cbf6937c78""]","[""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2"",""32282660-f9fa-4fbc-8d19-bea5108482c2""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,85,unidad,6,1,6,1,5,"[""6580b504-dc75-4697-bef4-9cc31247fe2c"",""304f5475-1b3e-4bd5-9b1c-fbfb0a2d2e8f"",""d71786dd-99cd-40b9-a8ce-b326a654b8c9"",""71c036c3-44a6-4c64-a351-6e26a38a53e3"",""e5a5923c-9591-4fbe-9c72-a75f84e58d8c"",""a220913b-c616-47b0-a766-b52f9deb7843""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,140,unidad,6,1,6,0,5,"[""97ec70ae-f4ea-4752-9f9c-fba66d87db10"",""1ff97016-e728-4375-bd46-b1d942709df8"",""2270ded2-0084-426b-bce9-18085ba6481b"",""b7aef2b7-d598-4416-8a6f-ba9d1b6cef92"",""559fefc3-b1ef-450f-919d-dd45b979b246"",""26c16e30-49d2-4190-b3c6-6ffb8bbdf40e""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,600,unidad,5,1,5,1,4,"[""a7f178b3-0d25-425d-9b32-e9415be7e6da"",""cb90acf7-e922-49f4-b4c9-eaa826e90d30"",""55e4127d-5930-44ae-b307-fa7acca8d705"",""19898865-ef19-4a67-a1ec-fe1cbbe6de8f"",""64352706-11c6-4a24-9a1b-67db3de74e57""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,1040,unidad,5,1,5,1,4,"[""f17739d0-c54c-4a30-aa4e-96ab6207a15c"",""905c5394-07e6-4bd5-9db8-86ee4ea8bc2c"",""8cbdd077-5e95-4ced-88b5-697cd397247b"",""d7dd098b-f387-4269-9dd0-ba8e32edafd7"",""6356d2fb-47fc-46af-bc20-253385fc86ec""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,212,unidad,5,1,5,1,4,"[""7cf57a97-f58b-4783-8aa4-995e96242128"",""36728364-0610-4b0a-8723-1b1f09d23af9"",""3bc0ee6c-fad4-4cd3-bc27-4f3e06f1265c"",""f6bbc5b2-8b5b-4121-9a5d-8d4e613486f8"",""fc2c8ff7-bc7b-4ec3-a44f-a4aa21233b36""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,9730,unidad,5,1,5,0,4,"[""99eea305-7910-4a9f-9f9d-988455c76452"",""c982dcaa-86c5-49dc-a02e-1478015c6fec"",""7b2dea6a-3270-4f7f-afe3-929b3547f030"",""ab492465-bcfd-4090-9317-a10c51abf615"",""3838cbc4-77f1-4edf-adbe-78bee60cb7fb""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,365,unidad,5,1,5,0,5,"[""de7aedd6-c9a7-46c6-a58c-75d77713ee3f"",""72aea587-fc99-455d-9c66-3004251a7155"",""14b19834-e13f-4f6e-99ba-0ae77c2b64d5"",""898952b8-bdf6-4a7d-b724-b14d100c40c6"",""476097d3-2099-40f1-97d0-4f0127668ec3""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,710,unidad,5,1,5,0,4,"[""9d8e2549-d02d-4731-8bda-1e5e290aac4d"",""421c1935-30d8-4c28-84e0-21452e8cc921"",""dfe49069-e78e-4536-a434-472a3a23422a"",""e03bcd18-642c-4837-ac34-5488c2954b6e"",""4d48c01e-a65b-49e0-b75b-1c7e0afb67ca""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,1060,unidad,5,1,5,0,4,"[""6e92f954-8065-444f-a97c-3e91e603e72d"",""138b106b-08f1-4044-8fdb-0b13745500b3"",""f1f45e07-e7e8-4bfa-a2c9-c942b7630c17"",""4ce25b9d-07ac-4eb7-bb63-e6451712f7d8"",""574ea64b-1030-4fdf-a829-a0a606c0c8d9""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,700,unidad,5,1,5,1,4,"[""80d9c5f7-d765-4424-b58e-099e99da1be8"",""cc84ee01-2d19-4468-bb2c-c735fd8d372b"",""fa37afef-75b6-4950-92fc-9c9964ad220b"",""c1cefc7a-783b-4113-b422-4d61061b30ba"",""ca2bab2d-f3a9-47b9-a499-fa892dc7712a""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,270,unidad,5,1,5,0,5,"[""14974780-9086-40e1-86f2-f2bca03a0d5c"",""ed2b27c8-3b0a-493d-97fc-4bfbaeabf4fb"",""2efcd74f-923a-4cfd-937a-34810112ea17"",""1f7cd980-14d8-48cf-abe8-e020c7dc22b3"",""d48c0a93-1e08-4e0e-bc9a-617351741905""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,1030,unidad,5,1,5,0,4,"[""4837f896-08c7-4468-9117-1d6a83666d58"",""8bc0c3d1-345f-43b0-ab02-9957d0a4b223"",""e5a4547c-7572-43a0-81dd-11416d389018"",""57cbd92a-adb7-4e85-b937-3edd4a44bc3a"",""ef11ee7a-ee74-42b2-ab06-ba6c46d4b514""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,130,unidad,5,1,5,1,4,"[""9afd73f3-047f-4ae3-97b1-ef64792756a1"",""3e05400e-930d-4871-94cc-b983c217d82b"",""33038f9d-ed45-4727-a4ec-49cf8f411a49"",""e1faed94-e499-4113-a112-9881318d1974"",""b2585aba-5aa7-46cc-ab56-83bc6571f408""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,250,unidad,5,1,5,1,4,"[""2159b5b5-2579-44dd-a0b8-f16dc4a47c26"",""c1167983-1e91-468b-a07d-36abe503be8c"",""8327f5d7-1571-4b0b-a8b8-ee8f0f278925"",""272f9f9d-babe-40d1-9359-a0006765b7d0"",""44a670e3-923c-4768-aba0-54570249d578""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,105,unidad,5,1,5,2,4,"[""42399a8b-70e7-47fe-affa-9790b0f03682"",""07e25d32-95f8-45dd-a703-12a14aa7d0e5"",""3012628b-0395-48ec-95d0-016c404b9f98"",""f046652e-7ff9-4ebf-9f65-a2af25b85139"",""32512b12-9bba-42e4-9e7d-10964574a9f5""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,400,unidad,5,1,5,0,4,"[""20e0e2da-b91f-47e4-8c15-d3bd1ab36eb1"",""4a09302a-6f10-47c5-96a4-dd498628c26f"",""bf93bb68-57ab-4b98-8bea-bcb78f51f647"",""72d0592e-18ad-49df-8687-c5bab09b2dc5"",""a413ad0d-2fb1-4578-92e2-59f24ea84ce8""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,107,unidad,5,1,4,0,4,"[""0937d67e-be35-4ecf-87e4-b29ae6f393c2"",""971045b6-871a-4db7-ab4d-4f1e4bc5dd82"",""148dda0b-c1e9-4be2-8668-14a0639a493b"",""818ea0ae-4c14-4ff3-927c-557fe4fc703a"",""d452f8d6-6dba-4450-b3e3-d08d9c11ffdc""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,677,unidad,5,1,4,1,4,"[""b4eb044f-e2be-47fc-a14a-fc4912b2c4b8"",""abfb4d7d-adbd-42d0-9111-0d91d790b8f9"",""74cc03bb-1031-4b65-9c4e-682b1df64349"",""adc56ec3-831c-4e3e-bdf7-da4f77631bfe"",""205fd298-f491-44da-b6ee-b1d538acaac2""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
5ce09c38-082c-40e7-bb31-141f18821dbe,150,unidad,5,1,4,0,5,"[""90ebfe7a-c41c-46b4-8632-220157f8247b"",""16413ac8-8a8b-4ff8-834d-c4e7ce5ac437"",""04e7e63f-9abd-47ee-9f0f-140542729ee6"",""14960f6e-1f9c-4b1e-96ac-1ca5af1a15b3"",""4489d596-1c1f-4832-810c-90b81f0cb40b""]","[""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658"",""16cf1324-8f8d-40db-8f7c-fc9dc4efb658""]"
